Approved symbol	Previous symbols	Pubmed IDs	Synonyms
BCAP29		8070407, 12886015	BAP29, DKFZp686M2086
BCAP31			DXS1357E, BAP31, 6C6-Ag, CDM
BCAP31P1			TCONS_l2_00010135
BCAP31P2			TCONS_l2_00009689
BCAR1		8413311, 10639512	P130Cas, Crkas, CAS, CASS1
BCAR1P1			
BCAR1P2			
BCAR3		9582273, 22081014	NSP2, SH2D3B, AND-34
BCAR4		16778085, 23202989	
BCAS1		9671742	NABC1, AIBC1
BCAS2		9731529, 10403562	DAM1, SPF27, Snt309
BCAS2P1			
BCAS2P2			
BCAS2P3			
BCAS3		12378525, 18030336, 22300583	FLJ20128
BCAS4		12378525	FLJ20495, CNOL
BCAT1	BCT1	9165094	
BCAT2	BCT2	9165094	BCAM
BCCIP		11313963, 10878006	BCCIPalpha, TOK-1
BCDIN3D		23063121	
BCDIN3D-AS1			
BCHE	CHE1, CHE2	1769657, 2318303	E1
BCKDHA	OVD1A		MSU
BCKDHB			
BCKDK		1889817	
BCL2			Bcl-2, PPP1R50
BCL2A1	HBPA1	8589678, 12771180	GRS, BFL1, BCL2L5, ACC-1, ACC-2, ACC2, ACC1
BCL2L1		8358789	BCLX, BCL2L, Bcl-X, bcl-xL, bcl-xS, PPP1R52
BCL2L2		8761287	KIAA0271, BCL-W, PPP1R51
BCL2L2-PABPN1			
BCL2L10		9829980, 9878060	Diva, Boo, BCL-B
BCL2L11		9731710, 9430630	BOD, BimL, BimEL, BimS, BIM
BCL2L12			
BCL2L12P1			
BCL2L13		11262395, 11381032	MIL1, BCL-RAMBO
BCL2L14		11054413	BCLG, BCL-G
BCL2L15	C1orf178	12700646, 15961081, 16690252, 17412810	Bfk, FLJ22588
BCL3	D19S37, BCL4	1501714, 2180580, 23063365	
BCL5		2682663, 8400234	
BCL6	ZNF51	8057668	ZBTB27, LAZ3, BCL5, BCL6A
BCL6-AS1		26276666	lnc-RP11-211G3.3.1-1
BCL6B	ZNF62	9632807	ZBTB28, BAZF
BCL7A	BCL7	8605326, 9931421, 23644491	
BCL7B		8605326, 9806765, 23644491	
BCL7C		9931421, 23644491	
BCL9		11955446, 9490669	
BCL9L		12964048, 15574752	DLNB11, B9L, Bcl9-2
BCL9P1			
BCL10		9989495	CARMEN, CIPER, mE10, c-E10, CLAP
BCL11A	EVI9	11719382, 18245381, 23644491	BCL11A-XL, BCL11A-L, BCL11A-S, CTIP1, HBFQTL5, ZNF856
BCL11B	ZNF856B	11719382, 16950772, 23644491	CTIP-2, CTIP2, hRIT1-alpha
BCLAF1		8724849, 10330179	KIAA0164, BTF
BCLAF1P1			
BCLAF1P2			
BCLAF3	CXorf23	14702039	
BCO1	BCDO, BCDO1, BCMO1	10766819, 10799297, 24187135	FLJ10730, BCMO
BCO2	BCDO2	11278918, 15983114, 15949678	FLJ34464, B-DIOX-II
BCOR		10898795	FLJ20285, KIAA1575
BCORL1	CXorf10		FLJ11362
BCORP1	BCORL2		FLJ39821
BCR	D22S11, BCR1	1657398, 18070886	D22S662, CML, PHL, ALL
BCRP1		3267213	BCR-1
BCRP2	BCR2, BCRL2	3267213	BCR-2
BCRP3	BCR3, BCRL6, BCRL3	3267213	
BCRP4	BCR4, BCRL4	9074928	BCR-4
BCRP5	BCRL5	10591208	
BCRP6			
BCRP7			
BCRP8			
BCRP9			
BCS1L		9878253, 17314340	Hs.6719, BCS, h-BCS, BJS
BCYRN1		9858834, 8265590, 17553964, 15240511, 11399078	BC200, BC200a, NCRNA00004, LINC00004
BCYRN1P1		8265590	BC200b
BCYRN1P2		8265590	BC200g
BCYRN1P3		8265590	
BDH1	BDH	1639787, 19027726, 21791085	SDR9C1
BDH2	DHRS6	16380372, 19027726, 21791085	UCPA-OR, FLJ13261, UNQ6308, PRO20933, SDR15C1
BDH2P1	DHRS6P1	21791085	bA758C21.1
BDKRB1		8808279	BKR1, B1BKR, bradyb1
BDKRB2		7916737	BK-2
BDNF		2236018, 1889806, 17942328, 17493809	
BDNF-AS	BDNFOS	15666411, 22446693, 28777258	BT2A, BT2B, BT2C, BT2D, NCRNA00049, BDNF-AS1, BDNFAS
BDP1	TFNR, TAF3B1	11214970, 11040218	TFIIIB150, TFC5, TFIIIB90, KIAA1689, HSA238520, KIAA1241
BDP1P			
BEAN1	SCA31	11042109, 8619474, 23607545	
BEAN1-AS1			
BECN1		9765397	ATG6, VPS30
BECN1P2			
BECN2	BECN1P1	23954414	
BEGAIN		10819331	KIAA1446
BEND2	CXorf20	29348602	MGC33653
BEND3	KIAA1553		
BEND3P1			
BEND3P2			
BEND3P3			
BEND4	CCDC4		FLJ35632, FLJ43965
BEND5	C1orf165	23468431	FLJ11588
BEND6	C6orf65		FLJ30162, bA203B9.1
BEND7	C10orf30		FLJ40283
BEND7P1			
BEST1	VMD2	1302019, 17003041	BMD, BEST, RP50
BEST2	VMD2L1	12032738, 16912113	FLJ20132
BEST3	VMD2L3	12032738	MGC40411, MGC13168
BEST4	VMD2L2	12032738, 16702355	
BET1		9382863, 10449330	hbet1
BET1L		9242691, 15004235	GS15, GOLIM3
BET1P1			
BEX1		16221301	
BEX2		16221301	DJ79P11.1
BEX3	NGFRAP1	10764727, 16221301, 2171551	HGR74, Bex, NADE, DXS6984E
BEX4	BEXL1	15958283, 16221301	FLJ10097
BEX5	NGFRAP1L1	16221301	
BFAR		10716992	BAR, RNF47
BFSP1		9787085	CP94, CP115, LIFL-H, filensin
BFSP2			CP47, CP49, LIFL-L, phakinin
BFSP2-AS1		12477932	MGC2848
BGLAP		2785029, 2394711	OCN
BGLT3		24837367, 23975195, 22010104	LINC01083, BGL3, lncRNA-BGL3
BGN		1612609	DSPG1, SLRR1A
BHLHA9		14516699, 18557763	bHLHa9, BHLHF42
BHLHA15	BHLHB8	14516699, 18557763	MIST1, bHLHa15
BHLHB9		11214970, 15034937, 16221301	p60TRP, KIAA1701, GASP3
BHLHB9P1			
BHLHE22	TNRC20, BHLHB5	9225980, 12213201, 18557763	CAGL85, Beta3, bHLHe22
BHLHE23	BHLHB4	11863370, 18557763	bA305P22.3, Beta4, bHLHe23
BHLHE40	STRA13, BHLHB2	9240428, 10449910, 18557763	DEC1, bHLHe40, SHARP2, Clast5
BHLHE40-AS1			
BHLHE41	BHLHB3	11162494, 18557763	DEC2, SHARP-1, SHARP1, bHLHe41
BHMG1		23044541	HMGDC
BHMT		8798461, 9281325	BHMT1
BHMT2		11087663, 18230605	
BICC1			
BICD1		9367685	
BICD1P1			
BICD2		9734811	KIAA0699
BICDL1	CCDC64	20360680, 26822037	FLJ26450, BICDR-1
BICDL2	CCDC64B		
BICRA	GLTSCR1	10708517, 21555454	
BICRA-AS1	GLTSCR1-AS1		
BICRAL	KIAA0240, GLTSCR1L		
BID		8918887, 9721221	
BIK		7478623, 10591208	NBK
BIN1	AMPHL	8725406, 8782822, 17676042	SH3P9, AMPH2
BIN2		10903846	BRAP-1
BIN2P1			
BIN2P2			
BIN3		16524918	
BIN3-IT1		12477932	FLJ14107
BIRC2	API1	8552191, 8548810	cIAP1, hiap-2, MIHB, RNF48, c-IAP1
BIRC3	API2	8552191, 8548810	cIAP2, hiap-1, MIHC, RNF49, MALT2, c-IAP2
BIRC5	API4	8106347, 7947793	EPR-1, survivin
BIRC6		10544019	BRUCE
BIRC6-AS1		22196729	
BIRC6-AS2		22196729	megamind
BIRC7		11024045, 11162435	mliap, ML-IAP, KIAP, RNF50
BIRC8		11390657	ILP-2, hILP2, RNF136
BISPR		25620967, 29856242	
BIVM		12036287	FLJ20159
BIVM-ERCC5			
BLACAT1		23688781	linc-UBC1, LINC00912, onco-lncRNA-30
BLACE		14667812	
BLCAP		10197429, 26986503, 17031575	BC10
BLID		15069058, 17220890	BRCC2
BLK		7845672	MGC10442
BLM		9388193	BS, RECQL3, RECQ2
BLMH		9407121, 9331073	BH
BLNK		9697839, 10583958	SLP65, Ly57, SLP-65, BLNK-s, BASH, bca
BLOC1S1	GCN5L1	8646881, 15102850	BLOS1, BORCS1
BLOC1S2		11483580, 15102850	MGC10120, FLJ30135, BLOS2, BORCS2
BLOC1S2P1			
BLOC1S3		15102850	BLOS3, HPS8
BLOC1S4	CNO	12576321, 11110696	FLJ11230, BCAS4L
BLOC1S5	MUTED	11912185	MU, dJ303A1.3
BLOC1S5-TXNDC5	MUTED-TXNDC5		
BLOC1S6	PA, PLDN	10610180	HPS9
BLVRA	BLVR		
BLVRB	FLR	7656592, 19027726	SDR43U1
BLZF1		9129147	JEM-1
BLZF2P			
BMF		11546872	FLJ00065
BMF-AS1			
BMI1	PCGF4	8268912	RNF51
BMI1P1			
BMIQ1		11713718	
BMIQ2		11713718	
BMIQ3		11713718	
BMIQ5		12774034	
BMIQ6		12774034	
BMP1	PCOLC	2004778	BMP-1
BMP2	BMP2A	2376592	
BMP2K			DKFZp434K0614, BIKe
BMP2KL			
BMP3			
BMP4	BMP2B	7558046, 7579580	
BMP5		1427904, 11580864	
BMP6	VGR	1427904, 1453478	VGR1
BMP6P1			
BMP7		1427904	OP-1
BMP7-AS1			
BMP8A			
BMP8B	BMP8	1460021, 9070944	OP-2
BMP10		10072785	
BMP15		9849956	GDF9B
BMPER		12897139, 14766204	Cv2, CRIM3
BMPR1A	ACVRLK3	8397373, 9730621	ALK3, CD292
BMPR1AP1	BMPR1APS1	10051328	
BMPR1AP2	BMPR1APS2		
BMPR1B		8140412, 9730621	ALK6, CDw293
BMPR1B-DT	BMPR1B-AS1		TCONS_00007797
BMPR2	PPH1	7791754	BRK-3, T-ALK, BMPR3, BMPR-II
BMS1	BMS1L	11779832, 23785305	KIAA0187
BMS1P1	BMS1LP1, BMS1P5, BMS1LP5		
BMS1P2	BMS1LP2, BMS1P6, BMS1LP6		bA144G6.1, OTTHUMG00000018113, bA302K17.2, OTTHUMG00000018142
BMS1P3	BMS1LP3		bA96C23.1, OTTHUMG00000018662
BMS1P4	BMS1LP4		OTTHUMG00000018478
BMS1P7	BMS1LP7		bA164N7.1, OTTHUMG00000018163
BMS1P8			
BMS1P9			
BMS1P10			
BMS1P11			
BMS1P12			
BMS1P13			
BMS1P14			
BMS1P15			
BMS1P16			
BMS1P17			
BMS1P18	C14orf17, LINC00516		
BMS1P19			
BMS1P20			
BMS1P21			
BMS1P22			
BMT2	C7orf60	23558746	DKFZp762M126, FLJ31818
BMX		7970727	ETK, PSCTK3
BNC1	BNC	1332044	HsT19447
BNC2		14702039	BSN2, FLJ20043
BNC2-AS1		28879717	RP11-62F24.2
BNIP1		7954800, 15272311	Nip1, SEC20
BNIP2		7954800	Nip2, BNIP-2
BNIP3		7954800	Nip3
BNIP3L		9523198, 9973195	Nix, BNIP3a
BNIP3P1	BNIP3P	28618048	
BNIP3P2			
BNIP3P3			
BNIP3P4			
BNIP3P5			
BNIP3P6			
BNIP3P7			
BNIP3P8			
BNIP3P9			
BNIP3P10			
BNIP3P11			
BNIP3P12			
BNIP3P13			
BNIP3P14			
BNIP3P15			
BNIP3P16			
BNIP3P17			
BNIP3P18			
BNIP3P19			
BNIP3P20			
BNIP3P21			
BNIP3P22			
BNIP3P23			
BNIP3P24			
BNIP3P25			
BNIP3P26			
BNIP3P27			
BNIP3P28			
BNIP3P29			
BNIP3P30			
BNIP3P31			
BNIP3P32			
BNIP3P33			
BNIP3P34			
BNIP3P35			
BNIP3P36			
BNIP3P37			
BNIP3P38			
BNIP3P39			
BNIP3P40			
BNIP3P41			
BNIP3P42			
BNIPL		12681488, 11741952	BNIPl-1, BNIPL-2, PP753, BNIP-S, BNIP-Salpha, BNIP-Sbeta
BOC		11782431	CDON2
BOD1	FAM44B	17938248	
BOD1L1	FAM44A, BOD1L		FLJ33215, KIAA1327
BOD1L2	FAM44C, BOD1P	17938248	MGC33608
BOD1P1			
BOD1P2			
BOK		9356461, 11034351, 15102863	BCL2L9, BOKL, MGC4631
BOK-AS1	BOKAS	19287972	NCRNA00151, NAToB
BOLA1		14718656	CGI-143
BOLA2		14718656	My016, BOLA2A
BOLA2-SMG1P6			
BOLA2B		14718656	
BOLA2P1			
BOLA2P2			
BOLA2P3			
BOLA3		14718656	
BOLA3-AS1			
BOLA3P1			
BOLA3P2			
BOLA3P3			
BOLA3P4			
BOLL		11390979, 16001084	BOULE
BOP1		8590280	KIAA0124
BORA	C13orf34	16890155, 18378770, 18566290, 19487276	FLJ22624
BORCS5	LOH12CR1	11896457, 15284860, 25898167	LOH1CR12
BORCS6	C17orf59	25898167	FLJ20014
BORCS7	C10orf32	25898167	FLJ40752
BORCS7-ASMT	C10orf32-ASMT		
BORCS8	MEF2BNB	25898167	
BORCS8-MEF2B	MEF2BNB-MEF2B		
BPESC1		10995571	NCRNA00187
BPGM			
BPHL	MCNAA	7759552, 9721218, 15832508	Bph-rp, VACVase
BPI		8432532	BPIFD1
BPIFA1	PLUNC	11018263, 11251963, 21787333	LUNX, bA49G10.5, SPLUNC1
BPIFA2	C20orf70	11971875	bA49G10.1, SPLUNC2, PSP
BPIFA3	C20orf71	11971875, 21787333	bA49G10.4, SPLUNC3
BPIFA4P		12538848, 21787333	BASE
BPIFB1	C20orf114	11971875, 21787333	dJ1187J4.1, MGC14597, bA49G10.6, LPLUNC1, VEMSGP
BPIFB2	C20orf184, BPIL1	12185532, 21787333	dJ726C3.2, LPLUNC2
BPIFB3	C20orf185	11971875, 21787333	dJ726C3.4, LPLUNC3, RYA3
BPIFB4	C20orf186	11971875, 21787333	dJ726C3.5, LPLUNC4
BPIFB5P		21787333	
BPIFB6	BPIL3	12185532, 21787333	LPLUNC6
BPIFB9P	C20orf115		dJ1187J4.2
BPIFC	BPIL2		dJ149A16.7
BPNT1		10224133	
BPTF	FALZ	8975731, 10662542, 16728976	FAC1, NURF301
BPTFP1			
BPY2	VCY2		BPY2A, VCY2A
BPY2B			VCY2B
BPY2C			VCY2C
BPY2DP			
BRAF		2284096, 1565476	BRAF1
BRAFP1	BRAFPS2	1630826, 19107232, 25843629	BRAF2
BRAP		9497340, 19198608	BRAP2, RNF52, IMP
BRAT1	C7orf27, BAAT1	16452482	MGC22916
BRCA1		1676470, 25472942	RNF53, BRCC1, PPP1R53, FANCS
BRCA1P1		11880951, 8954804, 10205276	LBRCA1, PsiBRCA1, pseudo-BRCA1
BRCA2	FANCD1, FACD, FANCD	8091231, 7581463, 15057823	FAD, FAD1, BRCC2, XRCC11
BRCA3		10944226, 11792833	BRCAX
BRCC3	CXorf53	1303175, 14636569	C6.1A, BRCC36
BRCC3P1			
BRD1		10591208, 10602503	BRL, BRPF2
BRD2	BRD2-IT1	1352711, 8781126	KIAA9001, RING3, D6S113E, NAT, FSRG1
BRD3		7584044, 8781126	RING3L, ORFX, KIAA0043
BRD3OS	NCRNA00094, LINC00094	12477932	FLJ35348, bA374P20.3
BRD4		10938129	HUNKI, MCAP, CAP, HUNK1
BRD7		10526152, 18809673	CELTIX1, BP75
BRD7P1	BRD7P		
BRD7P2			
BRD7P3			
BRD7P4			
BRD7P5			
BRD7P6			
BRD8		8611617, 9368056	SMAP, p120
BRD9		26365797	FLJ13441
BRD9P1			
BRD9P2			
BRDT		9367677	BRD6, CT9
BRDTP1			
BRF1	TAF3B2, TAF3C, GTF3B	7624363, 8943358	TFIIIB90, BRF, hBRF
BRF2		11483580, 11564744	FLJ11052, BRFU, TFIIIB50
BRI3		14592447	
BRI3BP		11860200, 17765869	BNAS1, KG19, HCCR-2, HCCRBP-3
BRI3BPP1			
BRI3P1			
BRI3P2			
BRI3P3			
BRICD5	C16orf79	12477932	MGC21830
BRINP1	DBCCR1, DBC1	9175739, 10444335, 15193422	FAM5A
BRINP2	FAM5B	15193423	DBCCR1L2
BRINP3	FAM5C	16018821, 15193423	DBCCR1L, DBCCR1L1
BRIP1		11595410, 11301010	OF, BACH1, FANCJ
BRIX1	BXDC2	12477932	BRIX, FLJ11100
BRIX1P1			
BRK1	C3orf10	14695531	MDS027, HSPC300
BRK1P2			
BRMS1		10850410	DKFZP564A063
BRMS1L	BRMS1		MGC11296, FLJ39177
BROX	C1orf58	18190528	FLJ32421
BRPF1		8946209, 7906940	BR140
BRPF3		10574462	KIAA1286
BRS3		8383682	BB3, BB3R
BRSK1		14976552	KIAA1811
BRSK2	C11orf7, STK29	9852686, 9929968	PEN11B
BRWD1	C21orf107, WDR9		FLJ11315, N143, DCAF19
BRWD1-AS1			
BRWD1-AS2	C21orf87, NCRNA00257, BRWD1-IT2	12036297	
BRWD1-IT1			
BRWD1P1			
BRWD1P2			
BRWD1P3			
BRWD3		15543602, 16094372	FLJ38568, MRX93
BSCL2	GNG3LG, SPG17	11479539, 14981520	seipin
BSDC1		12477932	FLJ10276, RP4-811H24.7
BSG	OK	8404035, 7812975	EMMPRIN, CD147, EMPRIN
BSN	ZNF231	9806829, 10329005	
BSN-AS1			
BSN-DT	BSN-AS2		
BSND	DFNB73	11687798, 11734858, 19646679	BART
BSNDP1			
BSNDP2			
BSNDP3			
BSNDP4			
BSPH1		17085770, 18923155	ELSPBP2, BSP1
BSPRY		10978534, 11099500	FLJ20150
BST1		8202488	CD157
BST2		7607676	CD317, tetherin
BSX			BSX1
BTAF1		9342322, 9488487	TAFII170, TAF172, MOT1, TAF-172, TAF(II)170
BTBD1			
BTBD2		11179693	
BTBD3			KIAA0952, dJ742J24.1
BTBD6			BDPL
BTBD6P1			
BTBD7		10819331, 11527404	FLJ10648, FUP1
BTBD7P1			
BTBD7P2			
BTBD8		14654994	
BTBD9		11572484	KIAA1880, dJ322I12.1
BTBD9-AS1			
BTBD10		15556295	GMRP1, GMRP-1, MGC13007
BTBD10P1			
BTBD10P2			
BTBD11			FLJ33957, ABTB2B
BTBD16	C10orf87		FLJ25359, Em:AC061711.1
BTBD17			LGALS3BPL, BTBD17A, TANGO10A
BTBD18			
BTBD19			
BTC		8439318, 11522793	
BTD		8001986	
BTF3	NACB	2320128, 1386332, 15716105	BTF3a, BTF3b
BTF3L4		20008835	MGC23908
BTF3L4P1			
BTF3L4P2			
BTF3L4P3			
BTF3L4P4			
BTF3P1		1386332	HUMBTFA
BTF3P2			
BTF3P3			
BTF3P4			
BTF3P5			
BTF3P6			
BTF3P7			
BTF3P8			
BTF3P9			
BTF3P10	RAET1J	11827464	
BTF3P11	BTF3L1	9325059, 1386332	HUMBTFB, TNFRSF11B, OPG, OCIF
BTF3P12	BTF3L2	1386332	HUMBTFC
BTF3P13	BTF3L3	1386332	HUMBTFD
BTF3P14			
BTF3P15			
BTF3P16			
BTG1		15033446	APRO2
BTG1P1			
BTG2		8944033	PC3, TIS21, MGC126063, MGC126064, APRO1
BTG3		9632145	ANA, tob55, APRO4, ANA/BTG3
BTG3-AS1		23419616, 27791078, 29323740	ASBEL
BTG3P1			
BTG4		10995567	PC3B, APRO3
BTG4P1			
BTK	AGMX1, IMD1	8380905	ATK, XLA, PSCTK1
BTLA		12796776	BTLA1, CD272
BTN1A1	BTN	8114113, 9382921	BT, BTN1
BTN1A1P1			
BTN2A1		9382921, 9149941	BT2.1, BTF1, BTN2.1
BTN2A2		10354554, 9149941	BTF2, BT2.2, BTN2.2
BTN2A3P	BTN2A3		BTN2.3
BTN3A1		9149941	BT3.1, BTF5, CD277, BTN3.1
BTN3A2		9149941	BTN3.2
BTN3A3		10354554, 9149941	BTF3, BTN3.3
BTNL2		10803852, 15735647	HSBLMHC1, BTL-II, BTN7
BTNL3		10429365	BTNLR, BTN9.1
BTNL8		12975309	FLJ21458, BTN9.2
BTNL9			FLJ32535, BTN8
BTNL10			BUTR1, BTN4
BTRC		9660940, 10331953, 18354483	bTrCP, betaTrCP, FBXW1A, Fwd1, beta-TrCP1, bTrCP1
BTRCP1			
BTS1		9310135	
BUB1	BUB1L	9441741	hBUB1, BUB1A
BUB1B		9889005	BUBR1, MAD3L, Bub1A, SSK1
BUB1B-PAK6			
BUB1P1			
BUB3		9660858	BUB3L
BUB3P1			
BUD13		25218446	MGC13125, fSAP71, Cwc26
BUD13P1			
BUD23	WBSCR22	12073013, 11978965, 21148752	MGC19709, MGC2022, MGC5140, PP3381, WBMT, MERM1
BUD31	G10	7841202	YCR063W, EDG-2, EDG2, fSAP17, Cwc14
BUD31P1			
BUD31P2			
BVES		10441744, 10882522	HBVES, POP1, POPDC1
BVES-AS1	C6orf112		bA99L11.2
BVR1			
BYSL		9925933, 17381424	Enp1
BZW1		10964520, 11524015	BZAP45, KIAA0005
BZW1P1			
BZW1P2	BZW1L1		
BZW2		11042152	HSPC028, MST017, MSTP017
C1D		9469821, 17599775, 17412707, 11801738, 9405624	SUNCOR, SUN-CoR, LRP1, Rrp47
C1DP1			bA195O1.1
C1DP2			bA369J21.3
C1DP3			bA369J21.2
C1DP4			
C1DP5			
C1GALT1		10580128, 11677243	C1GALT, T-synthase
C1GALT1C1		11042152, 12361956	COSMC, C1GALT2
C1GALT1C1L			
C1GALT1P1			
C1GALT1P2			
C1GALT1P3			
C1orf21		11318611	PIG13
C1orf35		12545221	MGC4174, MMTAG2
C1orf43		11042152, 11230159	NICE-3, DKFZp586G1722
C1orf50		12477932	MGC955
C1orf52		11891061	gm117, FLJ44982
C1orf53		15897902	
C1orf54		29999589	FLJ23221
C1orf56		12975309, 22133874	FLJ20519, MENT
C1orf61		10995546, 23012322	CROC4
C1orf68		11698679, 25411189	LEP7, XP32
C1orf74		12477932	FLJ25078, URLC4
C1orf87		25048349	MGC34837, CREF
C1orf94		25048349	MGC15882
C1orf100			
C1orf105		12477932	
C1orf109		22548824	FLJ20508
C1orf112		23039964	FLJ10706
C1orf115		12477932	FLJ14146
C1orf116		15525603, 9389513	SARG, FLJ36507, MGC2742, MGC4309
C1orf122		12477932	FLJ45459
C1orf127		14702039	FLJ37118
C1orf131		12975309	DKFZp547B1713
C1orf134			
C1orf137			
C1orf141			
C1orf143			
C1orf146		15496913	
C1orf147			FLJ32597
C1orf158		12477932	MGC35194
C1orf159		12975309	FLJ20584
C1orf162		12477932	MGC24133
C1orf167		12370778	DKFZp434E1410, RP11-56N19.2
C1orf174		12477932	RP13-531C17.2
C1orf185			FLJ27485
C1orf189			
C1orf194			
C1orf195			
C1orf196			
C1orf198			FLJ14525, MGC10710, FLJ16283, DKFZp667D152, FLJ38847
C1orf210		24710541	MGC52423, TEMP
C1orf216		12477932	FLJ38984
C1orf220		26186194	FLJ35530
C1orf226		14702039	FLJ13137
C1orf229			FLJ45717
C1orf232			
C1QA		1537612	
C1QB		1537612	
C1QBP	HABP1	8567680, 8195709	gC1Q-R, gC1qR, p32, SF2p32
C1QBPP1	C1QBPP		
C1QBPP2			
C1QBPP3			
C1QC	C1QG	1706597	
C1QL1		9878755	CRF, C1QRF, C1QTNF14, CTRP14
C1QL1P1			
C1QL2		18783346	CTRP10, C1QTNF10
C1QL3		21378161	K100, C1ql, C1QTNF13, CTRP13
C1QL4			C1QTNF11, CTRP11
C1QTNF1		12409230	CTRP1, ZSIG37, GIP, FLJ90694
C1QTNF1-AS1			
C1QTNF2			CTRP2
C1QTNF3		18421280	CTRP3, Cors, Corcs, 2310005P21Rik, Cors-26
C1QTNF3-AMACR			
C1QTNF4		16094384	CTRP4, ZACRP4
C1QTNF5		12944416	CTRP5, DKFZp586B0621, LORD
C1QTNF6		12975309	CTRP6, ZACRP6
C1QTNF7			CTRP7
C1QTNF8		12975309	UNQ5829, CTRP8
C1QTNF9		12975309, 18787108	MGC48915, CTRP9, C1QTNF9A, AQL1
C1QTNF9-AS1			
C1QTNF9B		17544811	CTRP9B
C1QTNF12	C1QDC2, FAM132A	21849507	MGC105127, CTRP12, ADIPOLIN
C1R			
C1RL		12838346	C1r-LP, C1RL1
C1RL-AS1			MATL2963
C1S			
C2			
C2-AS1			
C2CD2	C21orf25	15289880	TMEM24L, DKFZP586F0422, C21orf258
C2CD2L	TMEM24	15289880, 28209843	KIAA0285
C2CD3			DKFZP586P0123
C2CD4A	FAM148A		NLF1
C2CD4B	FAM148B		NLF2
C2CD4C	KIAA1957, FAM148C	11853319	NLF3
C2CD4D			FAM148D
C2CD4D-AS1			
C2CD5	KIAA0528	21907143, 25096995	CDP138
C2CD6	ALS2CR11	11586298	FLJ25351
C2orf15			MGC29762
C2orf16			DKFZp434G118
C2orf27A	C2orf27	9110174, 8619474	
C2orf27AP1			
C2orf27AP2			
C2orf27AP3			
C2orf27B			MGC50273
C2orf40		12800218	ECRG4, augurin
C2orf42		12477932	FLJ20558
C2orf48		12477932	FLJ25102
C2orf49		16680723, 24870230	MGC5509, asw
C2orf50		12477932	FLJ25143
C2orf66			UNQ6411
C2orf68		25023051	
C2orf69		12477932	FLJ38973
C2orf69P1			
C2orf69P2			
C2orf69P3			
C2orf69P4			
C2orf69P5			
C2orf70			LOC339778
C2orf72		8619474, 9110174	LOC257407
C2orf73		14702039	FLJ40298
C2orf74			LOC339804
C2orf76		12477932	MGC104437, LOC130355, AIM29
C2orf78			FLJ43987, hCG1989538, COG5373
C2orf80		22080834, 24055526, 25681390	LOC389073, GONDA1
C2orf81		15815621	LOC388963, hCG40743
C2orf83			DKFZp547H025
C2orf88		23996002, 27028580	MGC13057, smAKAP
C2orf91			
C2orf92	LINC01125		
C3			CPAMD1, ARMD9, C3a, C3b
C3AR1		8605247	C3AR, AZ3B
C3CER1		9408748, 10610706	CER1
C3orf14		21156036	HT021
C3orf18		12477932	G20
C3orf20		11230166	DKFZP434N1817
C3orf22		12477932	MGC34728
C3orf33		20680465, 26137149	FLJ31139, AC3-33
C3orf35		12543795	APRG1
C3orf36		12477932	FLJ22173
C3orf38		12477932, 17464193	MGC26717
C3orf49		12477932	
C3orf52		15737651	FLJ23186, TTMP
C3orf56		14702039	FLJ40141
C3orf62		12477932	FLJ43654
C3orf67			FLJ42117, FLJ42930
C3orf67-AS1			
C3orf70			
C3orf79			
C3orf80			
C3orf84			
C3orf85			FLJ22763
C3orf86	LINC00694		
C3P1			CPLP
C4A			CPAMD2, C4S, CO4, C4, C4A3, C4A2, C4A4, C4A6, C4B, RG
C4A-AS1			
C4B			CPAMD3, C4F, CO4, C4B1, C4B3, CH
C4B_2		19505723	
C4B-AS1			
C4BPA	C4BP		
C4BPAP1	C4BPAL1	2352933	
C4BPAP2	C4BPAL2	7806286	
C4BPAP3			
C4BPB	C4BP	2300577, 8325877	
C4orf3			HCVFTP1, ALN
C4orf17		11230166, 18336583	DKFZP434G072
C4orf19		12477932	FLJ11017
C4orf33		12477932	FLJ33703
C4orf36		12477932	MGC26744
C4orf45			FLJ25371
C4orf46		25059753	LOC201725, RCDG1
C4orf47		25074808	LOC441054
C4orf48		21287218	
C4orf50			FLJ46481
C4orf51			
C4orf54		28792652	FOPV, LOC285556
C5			CPAMD4, C5a, C5b
C5-OT1		26673966	C5T1lncRNA
C5AR1	C5R1	1612600	C5A, C5AR, CD88
C5AR2	GPR77	11165367	C5L2
C5orf15			KCT2, HTGN29
C5orf17			FLJ34836
C5orf22			FLJ11193
C5orf24		12477932	FLJ37562
C5orf30		22085962, 26316022	FLJ25291
C5orf34		12477932	FLJ32363
C5orf38		16750006, 16515847	CEI, IRX2NB
C5orf46			MGC23985, SSSP1
C5orf47		12477932	LOC133491
C5orf49		12477932	LOC134121
C5orf51		14702039	LOC285636
C5orf52			
C5orf56			
C5orf58			
C5orf60		12477932	
C5orf63			YDR286C, FLJ44606
C5orf64			FLJ37543
C5orf64-AS1			
C5orf66			
C5orf66-AS1		26158411	CTC-276P9.1, Epist
C5orf66-AS2		12477932	
C5orf67			
C6			
C6orf15		15217361	STG
C6orf47		2477242	D6S53E, G4
C6orf47-AS1			
C6orf48		8096093	D6S57, G8
C6orf52		12477932	
C6orf58		26901320	LEG1
C6orf62		11230166	FLJ12619, DKFZP564G182, XTP12
C6orf89		21857995, 23460338, 26460487	FLJ25357, BRAP
C6orf99			yR211F11.1
